연번,단속장소,위반내용,견인료,견인일자
139,서울특별시 양천구 신정동 888-47,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-17 13:20
140,서울특별시 양천구 신정동 888-47,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-17 13:18
141,서울특별시 양천구 신정동 888-47,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-17 13:19
142,서울특별시 양천구 신정동 276,지하철역 진출입로 및 주변,"40,000",2021-11-17 13:47
143,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-18 09:48
144,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-18 09:49
145,서울특별시 양천구 목동 131-96,"점자블록, 엘리베이터 입구","40,000",2021-11-18 10:00
146,서울특별시 양천구 목동 901-3,"버스정류장, 택시 승강장","40,000",2021-11-18 10:17
147,서울특별시 양천구 목동 901-3,"버스정류장, 택시 승강장","40,000",2021-11-18 10:17
148,서울특별시 양천구 목동 406-189,"횡단보도, 산책로 등","40,000",2021-11-18 11:16
149,서울특별시 양천구 신정동 314,"버스정류장, 택시 승강장","40,000",2021-11-18 11:29
150,서울특별시 양천구 신정동 276,"버스정류장, 택시 승강장","40,000",2021-11-18 11:55
151,서울특별시 양천구 신정동 314-2,"횡단보도, 산책로 등","40,000",2021-11-18 12:08
152,서울특별시 양천구 신정동 1066,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-18 16:07
153,서울특별시 양천구 신정동 1094,"횡단보도, 산책로 등","40,000",2021-11-18 16:30
154,서울특별시 양천구 목동 916-2,"횡단보도, 산책로 등","40,000",2021-11-18 16:48
155,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-19 09:03
156,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-19 09:04
157,서울특별시 양천구 목동 405-25,"횡단보도, 산책로 등","40,000",2021-11-19 09:36
158,서울특별시 양천구 목동 404-177,"횡단보도, 산책로 등","40,000",2021-11-19 09:45
159,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-22 09:28
160,서울특별시 양천구 목동 136-7,"횡단보도, 산책로 등","40,000",2021-11-22 09:39
161,서울특별시 양천구 목동 919-2,"횡단보도, 산책로 등","40,000",2021-11-22 09:56
162,서울특별시 양천구 신정동 1323-2,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-22 10:28
163,서울특별시 양천구 신정동 1065,"점자블록, 엘리베이터 입구","40,000",2021-11-22 10:47
164,서울특별시 양천구 신정동 1110,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-22 10:57
165,서울특별시 양천구 신정동 1066,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-22 11:09
166,서울특별시 양천구 신월동 276,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-23 16:04
167,서울특별시 양천구 신정동 1056,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-23 16:22
168,서울특별시 양천구 신정동 1127,"횡단보도, 산책로 등","40,000",2021-11-23 16:46
169,서울특별시 양천구 신정동 1127,"횡단보도, 산책로 등","40,000",2021-11-23 16:47
170,서울특별시 양천구 신정동 1050-1,"점자블록, 엘리베이터 입구","40,000",2021-11-23 16:55
171,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-24 09:50
172,서울특별시 양천구 목동 514-18,"횡단보도, 산책로 등","40,000",2021-11-24 09:57
173,서울특별시 양천구 목동 200,"점자블록, 엘리베이터 입구","40,000",2021-11-24 10:09
174,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-11-24 10:28
175,서울특별시 양천구 목동 408-40,"버스정류장, 택시 승강장","40,000",2021-11-24 10:51
176,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-25 09:30
177,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-11-25 10:07
178,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-11-25 10:07
179,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-11-25 10:08
180,서울특별시 양천구 신정동 276,지하철역 진출입로 및 주변,"40,000",2021-11-25 10:41
181,서울특별시 양천구 신월동 279,"횡단보도, 산책로 등","40,000",2021-11-25 12:12
182,서울특별시 양천구 신월동 85-1,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-25 12:17
183,서울특별시 양천구 신정동 888-47,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-25 13:10
184,서울특별시 양천구 목동 657-25,"버스정류장, 택시 승강장","40,000",2021-12-01 11:51
185,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-12-01 12:21
186,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-12-01 12:22
187,서울특별시 양천구 목동 916-2,"횡단보도, 산책로 등","40,000",2021-12-01 12:32
188,서울특별시 양천구 목동 406-426,지하철역 진출입로 및 주변,"40,000",2021-12-01 12:54
189,서울특별시 양천구 목동 406-426,지하철역 진출입로 및 주변,"40,000",2021-12-01 12:55
190,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-12-02 09:28
191,서울특별시 양천구 목동 406-224,보도와 차도가 구분된 도로의 차도,"40,000",2021-12-02 09:57
192,서울특별시 양천구 목동 405-212,"점자블록, 엘리베이터 입구","40,000",2021-12-02 10:05
193,서울특별시 양천구 신정동 1066,보도와 차도가 구분된 도로의 차도,"40,000",2021-12-02 10:31
194,서울특별시 양천구 신정동 1066,보도와 차도가 구분된 도로의 차도,"40,000",2021-12-02 10:32
